llm,problem_uuid,problem,prompt_builder,score_overall_exact_match,score_to-english_exact_match,score_from-english_exact_match,score_overall_exact_recall,score_to-english_exact_recall,score_from-english_exact_recall
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,ModelingBasicCoTPromptBuilder,0.25,,0.0,0.25,,0.25
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,ModelingMinimalPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,ModelingHandTunedPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,NullPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,ModelingFullCoTPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,LingOlyStdPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,ModelingBasicCoTPromptBuilder,0.1538461538461538,,0.0769230769230769,0.1538461538461538,,0.1538461538461538
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,ModelingHandTunedPromptBuilder,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4,0.0
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,NullPromptBuilder,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4,0.0
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,ModelingMinimalPromptBuilder,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4,0.0
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,LingOlyStdPromptBuilder,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4,0.0
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,ModelingBasicCoTPromptBuilder,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4,0.0
gpt-4o,66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,ModelingFullCoTPromptBuilder,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2,0.0
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,LingOlyStdPromptBuilder,0.3333333333333333,,0.1666666666666666,0.3333333333333333,,0.3333333333333333
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,ModelingMinimalPromptBuilder,0.3333333333333333,,0.1666666666666666,0.3333333333333333,,0.3333333333333333
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,NullPromptBuilder,0.1666666666666666,,0.1666666666666666,0.1666666666666666,,0.1666666666666666
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,ModelingHandTunedPromptBuilder,0.5,,0.1666666666666666,0.5,,0.5
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,ModelingFullCoTPromptBuilder,0.8333333333333334,,0.1666666666666666,0.8333333333333334,,0.8333333333333334
gpt-4o,5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,ModelingBasicCoTPromptBuilder,0.8333333333333334,,0.1666666666666666,0.8333333333333334,,0.8333333333333334
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,ModelingMinimalPromptBuilder,0.6666666666666666,,0.4,0.6666666666666666,,0.6666666666666666
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,ModelingHandTunedPromptBuilder,0.5333333333333333,,0.4,0.5333333333333333,,0.5333333333333333
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,NullPromptBuilder,0.4,,0.4,0.4,,0.4
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,ModelingFullCoTPromptBuilder,0.6666666666666666,,0.4,0.6666666666666666,,0.6666666666666666
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,LingOlyStdPromptBuilder,0.4,,0.4,0.4,,0.4
gpt-4o,64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,ModelingBasicCoTPromptBuilder,0.7333333333333333,,0.4,0.7333333333333333,,0.7333333333333333
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,ModelingHandTunedPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,ModelingMinimalPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,NullPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,LingOlyStdPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,ModelingBasicCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,ModelingFullCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,ModelingHandTunedPromptBuilder,0.3333333333333333,0.0,0.2857142857142857,0.3333333333333333,0.0,0.4285714285714285
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,ModelingMinimalPromptBuilder,0.3333333333333333,0.0,0.2857142857142857,0.3333333333333333,0.5,0.2857142857142857
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,NullPromptBuilder,0.2222222222222222,0.0,0.2857142857142857,0.2222222222222222,0.0,0.2857142857142857
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,LingOlyStdPromptBuilder,0.2222222222222222,0.0,0.2857142857142857,0.2222222222222222,0.0,0.2857142857142857
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,ModelingFullCoTPromptBuilder,0.2222222222222222,0.0,0.2857142857142857,0.2222222222222222,0.0,0.2857142857142857
gpt-4o,28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,ModelingBasicCoTPromptBuilder,0.5555555555555556,0.0,0.2857142857142857,0.5555555555555556,0.0,0.7142857142857143
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,ModelingMinimalPromptBuilder,0.25,,0.125,0.25,,0.25
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,ModelingHandTunedPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,NullPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,ModelingFullCoTPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,LingOlyStdPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,ModelingBasicCoTPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,ModelingMinimalPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,ModelingHandTunedPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,NullPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,ModelingFullCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,LingOlyStdPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,ModelingBasicCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,ModelingMinimalPromptBuilder,0.3333333333333333,0.0,0.2,0.3333333333333333,0.5,0.2
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,ModelingHandTunedPromptBuilder,0.2222222222222222,0.0,0.2,0.2222222222222222,0.25,0.2
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,NullPromptBuilder,0.2222222222222222,0.0,0.2,0.2222222222222222,0.25,0.2
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,ModelingFullCoTPromptBuilder,0.3333333333333333,0.0,0.2,0.3333333333333333,0.5,0.2
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,LingOlyStdPromptBuilder,0.2222222222222222,0.0,0.2,0.2222222222222222,0.25,0.2
gpt-4o,a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,ModelingBasicCoTPromptBuilder,0.2222222222222222,0.0,0.2,0.2222222222222222,0.5,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,ModelingMinimalPromptBuilder,0.125,0.25,0.0,0.125,0.25,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,ModelingHandTunedPromptBuilder,0.125,0.25,0.0,0.125,0.25,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,NullPromptBuilder,0.125,0.25,0.0,0.125,0.25,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,ModelingFullCoTPromptBuilder,0.125,0.25,0.0,0.125,0.25,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,LingOlyStdPromptBuilder,0.125,0.25,0.0,0.125,0.25,0.0
gpt-4o,dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,ModelingBasicCoTPromptBuilder,0.0,0.25,0.0,0.0,0.0,0.0
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,ModelingHandTunedPromptBuilder,0.25,0.0,0.0,0.25,0.25,0.25
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,NullPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,ModelingMinimalPromptBuilder,0.25,0.0,0.0,0.25,0.25,0.25
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,LingOlyStdPromptBuilder,0.125,0.0,0.0,0.125,0.0,0.25
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,ModelingBasicCoTPromptBuilder,0.25,0.0,0.0,0.25,0.25,0.25
gpt-4o,c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,ModelingFullCoTPromptBuilder,0.125,0.0,0.0,0.125,0.0,0.25
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,ModelingHandTunedPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,NullPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,ModelingMinimalPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,LingOlyStdPromptBuilder,0.1428571428571428,,0.0,0.1428571428571428,,0.1428571428571428
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,ModelingBasicCoTPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,ModelingFullCoTPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,ModelingMinimalPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,ModelingHandTunedPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,NullPromptBuilder,0.0,,0.125,0.0,,0.0
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,ModelingFullCoTPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,LingOlyStdPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,ModelingBasicCoTPromptBuilder,0.125,,0.125,0.125,,0.125
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,ModelingHandTunedPromptBuilder,0.4,0.3333333333333333,0.0,0.4,0.3333333333333333,0.5
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,NullPromptBuilder,0.2,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,ModelingMinimalPromptBuilder,0.2,0.3333333333333333,0.0,0.2,0.0,0.5
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,LingOlyStdPromptBuilder,0.2,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,ModelingBasicCoTPromptBuilder,0.4,0.3333333333333333,0.0,0.4,0.3333333333333333,0.5
gpt-4o,b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,ModelingFullCoTPromptBuilder,0.2,0.3333333333333333,0.0,0.2,0.3333333333333333,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,ModelingMinimalPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,NullPromptBuilder,0.1,0.0,0.0,0.1,0.2,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,ModelingHandTunedPromptBuilder,0.1,0.0,0.0,0.1,0.2,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,ModelingFullCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,ModelingBasicCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,45112f27-b227-4313-b1ee-13fc34982255,L_Zou,LingOlyStdPromptBuilder,0.2,0.0,0.0,0.2,0.4,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,ModelingHandTunedPromptBuilder,0.25,0.3333333333333333,0.0,0.25,0.6666666666666666,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,NullPromptBuilder,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,ModelingMinimalPromptBuilder,0.125,0.3333333333333333,0.0,0.125,0.3333333333333333,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,LingOlyStdPromptBuilder,0.125,0.3333333333333333,0.0,0.125,0.3333333333333333,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,ModelingBasicCoTPromptBuilder,0.25,0.3333333333333333,0.0,0.25,0.6666666666666666,0.0
gpt-4o,70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,ModelingFullCoTPromptBuilder,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,NullPromptBuilder,0.75,0.5,0.0,0.75,1.0,0.5
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,ModelingMinimalPromptBuilder,1.0,0.5,0.0,1.0,1.0,1.0
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,ModelingHandTunedPromptBuilder,0.5,0.5,0.0,0.5,1.0,0.0
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,ModelingBasicCoTPromptBuilder,0.5,0.5,0.0,0.5,1.0,0.0
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,ModelingFullCoTPromptBuilder,0.5,0.5,0.0,0.5,1.0,0.0
gpt-4o,933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,LingOlyStdPromptBuilder,0.75,0.5,0.0,0.75,1.0,0.5
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,NullPromptBuilder,0.25,0.0,0.0,0.25,0.25,0.25
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,ModelingMinimalPromptBuilder,0.25,0.0,0.0,0.25,0.25,0.25
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,ModelingHandTunedPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,ModelingBasicCoTPromptBuilder,0.375,0.0,0.0,0.375,0.5,0.25
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,ModelingFullCoTPromptBuilder,0.375,0.0,0.0,0.375,0.5,0.25
gpt-4o,537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,LingOlyStdPromptBuilder,0.375,0.0,0.0,0.375,0.5,0.25
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,NullPromptBuilder,0.0,0.5,0.0,0.0,0.0,0.0
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,ModelingMinimalPromptBuilder,0.25,0.5,0.0,0.25,0.5,0.0
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,ModelingHandTunedPromptBuilder,0.0,0.5,0.0,0.0,0.0,0.0
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,ModelingBasicCoTPromptBuilder,0.5,0.5,0.0,0.5,0.5,0.5
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,ModelingFullCoTPromptBuilder,0.0,0.5,0.0,0.0,0.0,0.0
gpt-4o,938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,LingOlyStdPromptBuilder,0.75,0.5,0.0,0.75,1.0,0.5
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,NullPromptBuilder,0.8,0.5,0.0,0.8,1.0,0.6666666666666666
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,ModelingMinimalPromptBuilder,0.8,0.5,0.0,0.8,1.0,0.6666666666666666
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,ModelingHandTunedPromptBuilder,0.6,0.5,0.0,0.6,0.5,0.6666666666666666
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,ModelingBasicCoTPromptBuilder,0.6,0.5,0.0,0.6,0.5,0.6666666666666666
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,ModelingFullCoTPromptBuilder,0.6,0.5,0.0,0.6,0.5,0.6666666666666666
gpt-4o,99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,LingOlyStdPromptBuilder,0.8,0.5,0.0,0.8,1.0,0.6666666666666666
gpt-4o,637c9887-7e76-4f80-82f1-8e3e4251fffe,M_Bangime_2,NullPromptBuilder,1.0,0.5,0.0,1.0,1.0,1.0
gpt-4o,637c9887-7e76-4f80-82f1-8e3e4251fffe,M_Bangime_2,ModelingMinimalPromptBuilder,1.0,0.5,0.0,1.0,1.0,1.0
