problem_uuid,problem,ft_count,cf,eng,eng_sim,w_Phonology,w_Nominal Categories,w_Lexicon,w_Nominal Syntax,w_Verbal Categories,w_Morphology,w_Simple Clauses,w_Complex Sentences,w_Word Order,b_Semantics,b_Phonology,b_Morphology,b_Syntax,features,walss,broad,is_constrained,is_eng,is_eng_sim
64c344ed-057e-4817-af0b-4a088e21bc83,L_Longgu,2,0.0,0.5,0.5,0,1,0,0,0,0,1,0,0,0,0,2,0,"['numfix', 'persfix']","['Nominal Categories', 'Simple Clauses']","['Morphology', 'Morphology']","[False, False]","[True, False]","[False, True]"
c2107974-a87a-4888-ae30-b0e2750704d8,L_Mayangna,5,0.8,0.4,0.4,0,2,0,0,0,1,1,0,1,0,0,4,1,"['def', 'numfix', 'persfix', 'redup', 'sov']","['Nominal Categories', 'Nominal Categories', 'Simple Clauses', 'Morphology', 'Word Order']","['Morphology', 'Morphology', 'Morphology', 'Morphology', 'Syntax']","[True, True, True, True, False]","[True, True, False, False, False]","[False, False, True, False, True]"
28519fd1-2f76-42cd-a345-e779f4988130,L_Murrinhpatha,3,0.0,0.3333333333,0.3333333333,0,1,0,0,0,0,1,0,1,0,0,2,1,"['persfix', 'semfix', 'sv']","['Simple Clauses', 'Nominal Categories', 'Word Order']","['Morphology', 'Morphology', 'Syntax']","[False, False, False]","[False, False, True]","[True, False, False]"
30684d69-b4ab-4b86-b2c6-a316fc9ac154,L_Nhanda,4,0.75,0.25,0.25,0,2,0,0,0,0,1,0,1,0,0,3,1,"['case', 'def', 'sov', 'transfix']","['Nominal Categories', 'Nominal Categories', 'Word Order', 'Simple Clauses']","['Morphology', 'Morphology', 'Syntax', 'Morphology']","[True, True, False, True]","[False, True, False, False]","[False, False, True, False]"
ca242d0f-71b5-4e43-b6a5-fabe42a96983,L_Taa,7,0.8571428571,0.5714285714,0.2857142857,1,2,0,2,1,0,0,0,1,2,1,2,2,"['cls', 'miscphon', 'neg', 'nounadjc', 'possfix', 'svo', 'tensefix']","['Nominal Categories', 'Phonology', 'Nominal Categories', 'Nominal Syntax', 'Nominal Syntax', 'Word Order', 'Verbal Categories']","['Semantics', 'Phonology', 'Semantics', 'Syntax', 'Morphology', 'Syntax', 'Morphology']","[True, True, True, True, True, False, True]","[False, False, True, True, False, True, True]","[False, True, False, False, True, False, False]"
a1041b07-7d07-4c3a-a79a-458ee72c92e2,L_Tadaksahak,6,0.6666666667,0.5,0.5,0,2,0,0,1,0,2,0,1,0,0,4,2,"['negfix', 'numfix', 'persfix', 'tensefix', 'voice', 'vso']","['Nominal Categories', 'Nominal Categories', 'Simple Clauses', 'Verbal Categories', 'Simple Clauses', 'Word Order']","['Morphology', 'Morphology', 'Morphology', 'Morphology', 'Syntax', 'Syntax']","[False, True, True, True, True, False]","[True, True, False, True, False, False]","[False, False, True, False, True, True]"
dbc40f41-2e8e-400b-b80c-c5189fbc936b,L_Taos,4,1.0,0.25,0.5,0,3,0,1,0,0,0,0,0,2,0,2,0,"['anim', 'cls', 'numfix', 'possfix']","['Nominal Categories', 'Nominal Categories', 'Nominal Categories', 'Nominal Syntax']","['Semantics', 'Semantics', 'Morphology', 'Morphology']","[True, True, True, True]","[False, False, True, False]","[True, False, False, True]"
c2ce4e9e-6df1-43ec-ac33-5aa01d58bf8e,L_Tawala,8,0.75,0.25,0.5,0,1,0,2,0,1,1,1,2,1,0,3,4,"['cls', 'miscsyn', 'nounadj', 'nounposs', 'persfix', 'possfix', 'redup', 'sov']","['Nominal Categories', 'Complex Sentences', 'Word Order', 'Nominal Syntax', 'Simple Clauses', 'Nominal Syntax', 'Morphology', 'Word Order']","['Semantics', 'Syntax', 'Syntax', 'Syntax', 'Morphology', 'Morphology', 'Morphology', 'Syntax']","[True, True, False, True, True, True, True, False]","[False, True, False, True, False, False, False, False]","[False, False, True, False, True, True, False, True]"
9a3ccb13-f5ba-4225-92d8-38acfc5f24cb,L_Tseltal,5,0.4,0.6,0.2,0,3,0,0,0,1,1,0,0,1,0,4,0,"['cls', 'def', 'miscfix', 'numfix', 'persfix']","['Nominal Categories', 'Nominal Categories', 'Morphology', 'Nominal Categories', 'Simple Clauses']","['Semantics', 'Morphology', 'Morphology', 'Morphology', 'Morphology']","[True, False, True, False, False]","[False, True, True, True, False]","[False, False, False, False, True]"
61346ac0-440a-445c-98de-e8bd2a7ec47c,L_Ulwa,1,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,['possfix'],['Nominal Syntax'],['Morphology'],[False],[False],[True]
b187cf55-db63-4bdd-9850-440ec21348ba,L_Waanyi,4,0.0,0.0,0.5,1,1,0,0,0,0,2,0,0,0,1,3,0,"['case', 'miscphon', 'persfix', 'transfix']","['Nominal Categories', 'Phonology', 'Simple Clauses', 'Simple Clauses']","['Morphology', 'Phonology', 'Morphology', 'Morphology']","[False, False, False, False]","[False, False, False, False]","[False, True, True, False]"
45112f27-b227-4313-b1ee-13fc34982255,L_Zou,9,0.8888888889,0.2222222222,0.3333333333,0,3,0,0,1,1,2,0,2,0,0,7,2,"['modfix', 'negfix', 'nounadj', 'numfix', 'persfix', 'prepfix', 'quesfix', 'redup', 'sov']","['Verbal Categories', 'Nominal Categories', 'Word Order', 'Nominal Categories', 'Simple Clauses', 'Nominal Categories', 'Simple Clauses', 'Morphology', 'Word Order']","['Morphology', 'Morphology', 'Syntax', 'Morphology', 'Morphology', 'Morphology', 'Morphology', 'Morphology', 'Syntax']","[True, True, True, True, True, True, True, True, False]","[False, True, False, True, False, False, False, False, False]","[False, False, True, False, True, False, False, False, True]"
70b65ab7-630d-4332-b352-216c0379f726,L_Zuni,2,0.5,0.0,0.5,0,0,0,0,0,0,2,0,0,0,0,2,0,"['persfix', 'transfix']","['Simple Clauses', 'Simple Clauses']","['Morphology', 'Morphology']","[False, True]","[False, False]","[True, False]"
933623ef-9632-457b-9aaf-4258c88f6f7b,M_Abun,2,1.0,0.0,0.5,0,1,0,1,0,0,0,0,0,1,0,0,1,"['alien', 'posslinker']","['Nominal Categories', 'Nominal Syntax']","['Semantics', 'Syntax']","[True, True]","[False, False]","[False, True]"
537caea4-3964-4286-9d58-53680932b9dd,M_Ainu,4,1.0,0.5,0.5,0,0,0,1,0,0,1,0,2,0,0,1,3,"['intens', 'persfix', 'prepc', 'sov']","['Nominal Syntax', 'Simple Clauses', 'Word Order', 'Word Order']","['Syntax', 'Morphology', 'Syntax', 'Syntax']","[True, True, True, True]","[True, False, True, False]","[False, True, False, True]"
938775dd-4898-415e-96ef-62aa87751986,M_Ayutla_Mixe,3,0.6666666667,0.0,0.3333333333,0,0,0,0,0,0,2,0,1,0,0,2,1,"['persfix', 'sov', 'transfix']","['Simple Clauses', 'Word Order', 'Simple Clauses']","['Morphology', 'Syntax', 'Morphology']","[True, False, True]","[False, False, False]","[False, True, False]"
99eb08c9-c8b6-48f9-b63c-a1af716afc0f,M_Bangime,2,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,1,"['persfix', 'sov']","['Simple Clauses', 'Word Order']","['Morphology', 'Syntax']","[False, False]","[False, False]","[True, True]"
637c9887-7e76-4f80-82f1-8e3e4251fffe,M_Bangime_2,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['sv'],['Word Order'],['Syntax'],[False],[True],[False]
041f835e-8647-4747-bbb6-377eaff802a1,M_Bangime_3,2,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,1,"['persfix', 'sov']","['Simple Clauses', 'Word Order']","['Morphology', 'Syntax']","[False, False]","[False, False]","[True, True]"
217bd594-9fec-46a0-8360-283421fd3add,M_Bangime_4,2,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,1,"['persfix', 'sov']","['Simple Clauses', 'Word Order']","['Morphology', 'Syntax']","[False, False]","[False, False]","[True, True]"
b9fa2375-3535-4a10-be57-ddd57c252be8,M_Bangime_5,2,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,1,"['persfix', 'sov']","['Simple Clauses', 'Word Order']","['Morphology', 'Syntax']","[False, False]","[False, False]","[True, True]"
5c84fabb-d412-4c48-bbe7-8cebd8b75580,M_Bangime_6,1,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[True],[False],[True]
a5e9c36c-1db4-45e6-96d6-2a7ca9dc1dcc,M_Bangime_7,1,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[True],[False],[True]
ef693f6a-1d5c-40e1-ab25-e59b6b3a9c66,M_Chimalapa_Zoque,8,1.0,0.625,0.5,1,2,0,0,1,2,1,0,1,1,1,5,1,"['comp', 'miscfix', 'miscphon', 'negfix', 'numfix', 'persfix', 'svo', 'tensefix']","['Morphology', 'Morphology', 'Phonology', 'Nominal Categories', 'Nominal Categories', 'Simple Clauses', 'Word Order', 'Verbal Categories']","['Semantics', 'Morphology', 'Phonology', 'Morphology', 'Morphology', 'Morphology', 'Syntax', 'Morphology']","[True, True, True, True, True, True, True, True]","[False, True, False, True, True, False, True, True]","[True, True, True, False, False, True, False, False]"
d092006f-19ea-478a-ae83-ef8331d0ae66,M_Dogon,2,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,1,"['pos', 'tone']","['Nominal Categories', 'Phonology']","['Syntax', 'Phonology']","[True, True]","[False, False]","[False, False]"
c24ec758-a890-49b4-8151-8005f5699a61,M_Dogon_2,3,1.0,0.0,0.3333333333,1,1,0,0,0,0,0,0,1,0,1,0,2,"['nounadj', 'pos', 'tone']","['Word Order', 'Nominal Categories', 'Phonology']","['Syntax', 'Syntax', 'Phonology']","[True, True, True]","[False, False, False]","[True, False, False]"
483ff6aa-9a1e-4885-9aae-fb35c18526c1,M_Engenni,2,0.0,0.5,0.0,0,1,0,0,0,0,0,0,1,0,0,0,2,"['pos', 'svo']","['Nominal Categories', 'Word Order']","['Syntax', 'Syntax']","[False, False]","[False, True]","[False, False]"
83cbb1be-cce0-4145-8259-f49547a42f90,M_Engenni_2,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['svo'],['Word Order'],['Syntax'],[False],[True],[False]
1d89f9ca-1dad-45ab-86b5-b396101053a1,M_Engenni_3,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['svo'],['Word Order'],['Syntax'],[False],[True],[False]
6f21fb12-1ddd-4de8-b752-6b52c448554a,M_Engenni_4,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['svo'],['Word Order'],['Syntax'],[False],[True],[False]
044ccb6a-25c2-4c38-8a0e-2861f4ab25e9,M_Engenni_5,2,0.0,0.5,0.0,0,1,0,0,0,0,0,0,1,0,0,0,2,"['pos', 'svo']","['Nominal Categories', 'Word Order']","['Syntax', 'Syntax']","[False, False]","[False, True]","[False, False]"
44c05fa7-f3f8-4322-87d4-146ac29dc059,M_Guugu_Yimithir,2,0.5,0.0,1.0,0,2,0,0,0,0,0,0,0,0,0,2,0,"['prepfix', 'semfix']","['Nominal Categories', 'Nominal Categories']","['Morphology', 'Morphology']","[False, True]","[False, False]","[True, True]"
c7b565fa-7ef7-4064-9800-7f1c52bcabac,M_Kalam,2,0.5,0.0,0.5,0,0,0,0,1,1,0,0,0,2,0,0,0,"['comp', 'svc']","['Morphology', 'Verbal Categories']","['Semantics', 'Semantics']","[True, False]","[False, False]","[True, False]"
ecd0c073-487f-4e3d-91db-5aebb7a2a6b9,M_Komi-Ziran,2,1.0,0.0,1.0,0,0,0,0,0,1,0,0,1,1,0,0,1,"['comp', 'nounadj']","['Morphology', 'Word Order']","['Semantics', 'Syntax']","[True, True]","[False, False]","[True, True]"
053d7a73-f5bb-4958-9d2d-82b2951a9f5a,M_Kutenai,3,1.0,0.0,0.3333333333,0,3,0,0,0,0,0,0,0,2,0,1,0,"['dim', 'neg', 'semfix']","['Nominal Categories', 'Nominal Categories', 'Nominal Categories']","['Semantics', 'Semantics', 'Morphology']","[True, True, True]","[False, False, False]","[False, True, False]"
d6f49668-7d28-451d-b9dc-de29158ac830,M_Mapudungan_1,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['adjnoun'],['Word Order'],['Syntax'],[False],[True],[False]
de3b766d-f8a9-4775-bf73-9331ad9dbc69,M_Mapudungan_2,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['adjnoun'],['Word Order'],['Syntax'],[False],[True],[False]
45fa6ec2-9eec-4f20-9da5-144924e97433,M_Mapudungan_3,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['adjnoun'],['Word Order'],['Syntax'],[False],[True],[False]
cba71f80-24af-4410-990a-2f9118014de4,M_Mapudungan_4,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['adjnoun'],['Word Order'],['Syntax'],[False],[True],[False]
822e0671-4834-454c-a7ad-4ed297d1e5d7,M_Misantla_Totonac,1,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['adjnoun'],['Word Order'],['Syntax'],[True],[True],[False]
071a60f9-6417-4887-96c6-f65d10403c66,M_Mixtepec_Zapotec,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[False],[False],[True]
eab06e49-6ae7-4c9b-893c-b8a297bfb9a4,M_Mixtepec_Zapotec_2,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[False],[False],[True]
1b4bbb98-9c18-4d2f-b007-9e3eabae152a,M_Mixtepec_Zapotec_3,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[False],[False],[True]
b49f2a46-4b65-4c6f-8923-909e6ca6a9ac,M_Mixtepec_Zapotec_4,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[False],[False],[True]
38df675b-171f-4fa0-a1d2-38e6869370f3,M_Ngadha_1,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[False],[False],[True]
9990f617-b9a4-40e2-af9d-e1554a5e0ee0,M_Ngadha_2,3,0.6666666667,0.3333333333,0.3333333333,0,1,1,0,0,0,0,0,1,2,0,0,1,"['cls', 'nounadj', 'num']","['Nominal Categories', 'Word Order', 'Lexicon']","['Semantics', 'Syntax', 'Semantics']","[True, False, True]","[False, False, True]","[False, True, False]"
5ca7ae2d-bd86-471d-a966-4c5e2cdb8cf3,M_Niuean_2,1,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['nounadj'],['Word Order'],['Syntax'],[True],[False],[True]
e5967060-0e8b-46a5-841f-c526f0dc968b,M_Rapa_Nui_3,1,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['vso'],['Word Order'],['Syntax'],[True],[False],[True]
4396ce8b-970f-4ded-8857-7856a394464e,M_Rapa_Nui_4,1,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,['vso'],['Word Order'],['Syntax'],[False],[False],[True]
5e7f8c07-480a-4ac0-8f69-072817004ffd,M_Seri,2,1.0,0.0,1.0,0,0,0,0,0,1,0,0,1,1,0,0,1,"['comp', 'nounadj']","['Morphology', 'Word Order']","['Semantics', 'Syntax']","[True, True]","[False, False]","[True, True]"
6e55f35c-d9aa-4ce2-8eed-f5e7d6942c08,M_Seri_2,2,1.0,0.5,0.5,0,0,0,1,0,0,0,0,1,0,0,0,2,"['nounadjc', 'nounprep']","['Nominal Syntax', 'Word Order']","['Syntax', 'Syntax']","[True, True]","[True, False]","[False, True]"
a3996921-2c8b-4cce-a671-6016d5b39e5a,M_Seri_3,1,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,['comp'],['Morphology'],['Semantics'],[True],[False],[True]
490c0904-0b40-42ed-9615-471a0ab51d70,M_Seri_4,4,1.0,0.0,0.75,0,1,0,3,0,0,0,0,0,1,0,1,2,"['alien', 'nounposs', 'pl', 'possfix']","['Nominal Categories', 'Nominal Syntax', 'Nominal Syntax', 'Nominal Syntax']","['Semantics', 'Syntax', 'Syntax', 'Morphology']","[True, True, True, True]","[False, False, False, False]","[False, True, True, True]"
a74fc57a-2a23-4acc-b196-11699d9fa4b2,M_Totonac,3,1.0,0.3333333333,0.3333333333,0,1,0,2,0,0,0,0,0,0,0,1,2,"['pl', 'pos', 'possfix']","['Nominal Syntax', 'Nominal Categories', 'Nominal Syntax']","['Syntax', 'Syntax', 'Morphology']","[True, True, True]","[True, False, False]","[False, False, True]"
